"Metric_Thread_Dia_ISO965-6-2025"
"Dia_mm","Pitch_mm","Class","Thread_Mean_Dia_mm","dmax_mm","dmin_mm"
"14.0","2.0","6f",13.808,13.948,13.668
"14.0","2.0","6e",13.789,13.929,13.649
"15.0","1.0","4h",14.944,15.0,14.888
"15.0","1.0","6h",14.91,15.0,14.82
"15.0","1.0","6g",14.884,14.974,14.794
"15.0","1.0","6f",14.87,14.96,14.78
"15.0","1.0","6e",14.85,14.94,14.76
"15.0","1.5","4h",14.925,15.0,14.85
"15.0","1.5","6h",14.882,15.0,14.764
"15.0","1.5","6g",14.85,14.968,14.732
"15.0","1.5","6f",14.837,14.955,14.719
"15.0","1.5","6e",14.815,14.933,14.697
"16.0","1.0","4h",15.944,16.0,15.888
"16.0","1.0","6h",15.91,16.0,15.82
"16.0","1.0","6g",15.884,15.974,15.794
"16.0","1.0","6f",15.87,15.96,15.78
"16.0","1.0","6e",15.85,15.94,15.76
"16.0","1.5","4h",15.925,16.0,15.85
"16.0","1.5","6h",15.882,16.0,15.764
"16.0","1.5","6g",15.85,15.968,15.732
"16.0","1.5","6f",15.837,15.955,15.719
"16.0","1.5","6e",15.815,15.933,15.697
"16.0","2.0","4h",15.91,16.0,15.82
"16.0","2.0","6h",15.86,16.0,15.72
"16.0","2.0","6g",15.822,15.962,15.682
"16.0","2.0","6f",15.808,15.948,15.668
"16.0","2.0","6e",15.789,15.929,15.649
"17.0","1.0","4h",16.944,17.0,16.888
"17.0","1.0","6h",16.91,17.0,16.82
"17.0","1.0","6g",16.884,16.974,16.794
"17.0","1.0","6f",16.87,16.96,16.78
"17.0","1.0","6e",16.85,16.94,16.76
"17.0","1.5","4h",16.925,17.0,16.85
"17.0","1.5","6h",16.882,17.0,16.764
"17.0","1.5","6g",16.85,16.968,16.732
"17.0","1.5","6f",16.837,16.955,16.719
"17.0","1.5","6e",16.815,16.933,16.697
"18.0","1.0","4h",17.944,18.0,17.888
"18.0","1.0","6h",17.91,18.0,17.82
"18.0","1.0","6g",17.884,17.974,17.794
"18.0","1.0","6f",17.87,17.96,17.78
"18.0","1.0","6e",17.85,17.94,17.76
"18.0","1.5","4h",17.925,18.0,17.85
"18.0","1.5","6h",17.882,18.0,17.764
"18.0","1.5","6g",17.85,17.968,17.732
"18.0","1.5","6f",17.837,17.955,17.719
"18.0","1.5","6e",17.815,17.933,17.697
"18.0","2.0","4h",17.91,18.0,17.82
"18.0","2.0","6h",17.86,18.0,17.72
"18.0","2.0","6g",17.822,17.962,17.682
"18.0","2.0","6f",17.808,17.948,17.668
"18.0","2.0","6e",17.789,17.929,17.649
"18.0","2.5","4h",17.894,18.0,17.788
"18.0","2.5","6h",17.8325,18.0,17.665
"18.0","2.5","6g",17.7905,17.958,17.623
"18.0","2.5","6f",17.7745,17.942,17.607
"18.0","2.5","6e",17.7525,17.92,17.585
"20.0","1.0","4h",19.944,20.0,19.888
"20.0","1.0","6h",19.91,20.0,19.82
"20.0","1.0","6g",19.884,19.974,19.794
"20.0","1.0","6f",19.87,19.96,19.78
"20.0","1.0","6e",19.85,19.94,19.76
"20.0","1.5","4h",19.925,20.0,19.85
"20.0","1.5","6h",19.882,20.0,19.764
